"Country","Variable","Frequency","Time","Unit","PowerCode","Reference Period","Value","Flags"
"Spain","Harmonised headline inflation","Annual","2005","Percentage","Units","2010",3.38406501375134,
"Spain","Harmonised headline inflation","Annual","2006","Percentage","Units","2010",3.56132051884669,
"Spain","Harmonised headline inflation","Annual","2007","Percentage","Units","2010",2.84301606922126,
"Spain","Harmonised headline inflation","Annual","2008","Percentage","Units","2010",4.13067157451922,
"Spain","Harmonised headline inflation","Annual","2009","Percentage","Units","2010",-0.238964786509731,
"Spain","Harmonised headline inflation","Annual","2010","Percentage","Units","2010",2.04284552110638,
"Spain","Harmonised headline inflation","Annual","2011","Percentage","Units","2010",3.04987155638221,
"Spain","Harmonised headline inflation","Annual","2012","Percentage","Units","2010",2.43611013212059,
"Spain","Harmonised headline inflation","Annual","2013","Percentage","Units","2010",1.52978593066892,
"Spain","Harmonised headline inflation","Annual","2014","Percentage","Units","2010",-0.190098355235939,
"Spain","Harmonised headline inflation","Annual","2015","Percentage","Units","2010",-0.629347466048294,
"Spain","Harmonised headline inflation","Annual","2016","Percentage","Units","2010",-0.336666666666815,
"Spain","Harmonised headline inflation","Annual","2017","Percentage","Units","2010",2.03602127119843,
"Spain","Harmonised headline inflation","Annual","2018","Percentage","Units","2010",1.62672747678342,
"Spain","Unemployment rate","Annual","2000","Percentage","Units",,11.1936657711371,
"Spain","Unemployment rate","Annual","2001","Percentage","Units",,10.5290217683773,
"Spain","Unemployment rate","Annual","2002","Percentage","Units",,11.4503414221659,
"Spain","Unemployment rate","Annual","2003","Percentage","Units",,11.4835680394473,
"Spain","Unemployment rate","Annual","2004","Percentage","Units",,10.9616689426537,
"Spain","Unemployment rate","Annual","2005","Percentage","Units",,9.1461669634896,
"Spain","Unemployment rate","Annual","2006","Percentage","Units",,8.45214468795304,
"Spain","Unemployment rate","Annual","2007","Percentage","Units",,8.23215832462882,
"Spain","Unemployment rate","Annual","2008","Percentage","Units",,11.254542754733,
"Spain","Unemployment rate","Annual","2009","Percentage","Units",,17.8567436501522,
"Spain","Unemployment rate","Annual","2010","Percentage","Units",,19.8597238346432,
"Spain","Unemployment rate","Annual","2011","Percentage","Units",,21.3905163842435,
"Spain","Unemployment rate","Annual","2012","Percentage","Units",,24.7871496393487,
"Spain","Unemployment rate","Annual","2013","Percentage","Units",,26.0935419709898,
"Spain","Unemployment rate","Annual","2014","Percentage","Units",,24.441315075535,
"Spain","Unemployment rate","Annual","2015","Percentage","Units",,22.0572789707716,
"Spain","Unemployment rate","Annual","2016","Percentage","Units",,19.6347061974414,
"Spain","Unemployment rate","Annual","2017","Percentage","Units",,17.2235175642954,
"Spain","Unemployment rate","Annual","2018","Percentage","Units",,15.4924741405219,
"Spain","Short-term interest rate","Annual","2000","Percentage","Units",,4.39176666666667,
"Spain","Short-term interest rate","Annual","2001","Percentage","Units",,4.26178333333333,
"Spain","Short-term interest rate","Annual","2002","Percentage","Units",,3.31859166666667,
"Spain","Short-term interest rate","Annual","2003","Percentage","Units",,2.33346666666667,
"Spain","Short-term interest rate","Annual","2004","Percentage","Units",,2.10633333333333,
"Spain","Short-term interest rate","Annual","2005","Percentage","Units",,2.18468333333333,
"Spain","Short-term interest rate","Annual","2006","Percentage","Units",,3.079225,
"Spain","Short-term interest rate","Annual","2007","Percentage","Units",,4.27760833333333,
"Spain","Short-term interest rate","Annual","2008","Percentage","Units",,4.63423333333333,
"Spain","Short-term interest rate","Annual","2009","Percentage","Units",,1.22835833333333,
"Spain","Short-term interest rate","Annual","2010","Percentage","Units",,0.810958333333333,
"Spain","Short-term interest rate","Annual","2011","Percentage","Units",,1.3906,
"Spain","Short-term interest rate","Annual","2012","Percentage","Units",,0.573183333333333,
"Spain","Short-term interest rate","Annual","2013","Percentage","Units",,0.220666666666667,
"Spain","Short-term interest rate","Annual","2014","Percentage","Units",,0.209933333333333,
"Spain","Short-term interest rate","Annual","2015","Percentage","Units",,-0.0193666666666667,
"Spain","Short-term interest rate","Annual","2016","Percentage","Units",,-0.263691666666667,
"Spain","Short-term interest rate","Annual","2017","Percentage","Units",,-0.32905,
"Spain","Short-term interest rate","Annual","2018","Percentage","Units",,-0.328483333333333,
